Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
112, KENMORE,442.000000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
113,SHORLINE,442.825000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
114,LYNNWOOD,146.780000,-,0.600000,DTCS,88.5,88.5,172,NN,172,Tone->Tone,FM,5.00,,5.0W,,,,,
115,BothLOCL,442.550000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
116,u WOODIN,442.775000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
117, RED OBY,440.675000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
118, RED IYE,145.310000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
119,Squak Mt,444.525000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
120,v BOEING,145.330000,-,0.600000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
121,EastFire,440.250000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
122, K7BEL,441.100000,+,5.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
123,Mercer U,440.150000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
124, CGR OBY,443.325000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
125, CGR BJI,444.850000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
126,CGR WIDE,441.550000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
127, CGR OET,444.325000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
128,K7PP Cgr,443.400000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
129,K7PP Gld,441.200000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
130,KtspGOLD,441.175000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
131,CherylSt,444.075000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
132, SKYWAY,441.975000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
133, RENTON,443.600000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
134,Rent 441,441.475000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
135,Rent IGT,441.450000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
136,LkYOUNGS,441.375000,+,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
137,MAPLVLLY,147.260000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
138, KENT,147.320000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
139, AUBURN,147.240000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
140,tig k7pf,146.880000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
141,tig BJI,146.875000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
